id,name,collection_or_case,rarity,float_category,image_url
1,★ Hand Wraps | Spruce DDPAT,Unknown,Extraordinary,0.06 - 0.8,gloves.png
2,★ Hand Wraps | Desert Shamagh,Unknown,Extraordinary,0.06 - 0.8,gloves.png
3,★ Hand Wraps | Badlands,Unknown,Extraordinary,0.06 - 0.8,gloves.png
4,★ Hand Wraps | CAUTION!,Unknown,Extraordinary,0.06 - 0.8,gloves.png
5,★ Hand Wraps | Duct Tape,Unknown,Extraordinary,0.06 - 0.8,gloves.png
6,★ Hand Wraps | Cobalt Skulls,Unknown,Extraordinary,0.06 - 0.8,gloves.png
7,★ Hand Wraps | Overprint,Unknown,Extraordinary,0.06 - 0.8,gloves.png
8,★ Hand Wraps | Giraffe,Unknown,Extraordinary,0.06 - 0.8,gloves.png
9,★ Hand Wraps | Arboreal,Unknown,Extraordinary,0.06 - 0.8,gloves.png
10,★ Hand Wraps | Leather,Unknown,Extraordinary,0.06 - 0.8,gloves.png
11,★ Hand Wraps | Constrictor,Unknown,Extraordinary,0.06 - 0.8,gloves.png
12,★ Hand Wraps | Slaughter,Unknown,Extraordinary,0.06 - 0.8,gloves.png
13,★ Moto Gloves | Eclipse,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
14,★ Moto Gloves | Turtle,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
15,★ Moto Gloves | Blood Pressure,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
16,★ Hand Wraps | Spruce DDPAT,Unknown,Extraordinary,0.06 - 0.8,gloves.png
17,★ Hand Wraps | Desert Shamagh,Unknown,Extraordinary,0.06 - 0.8,gloves.png
18,★ Hand Wraps | Badlands,Unknown,Extraordinary,0.06 - 0.8,gloves.png
19,★ Hand Wraps | CAUTION!,Unknown,Extraordinary,0.06 - 0.8,gloves.png
20,★ Hand Wraps | Duct Tape,Unknown,Extraordinary,0.06 - 0.8,gloves.png
21,★ Hand Wraps | Cobalt Skulls,Unknown,Extraordinary,0.06 - 0.8,gloves.png
22,★ Hand Wraps | Overprint,Unknown,Extraordinary,0.06 - 0.8,gloves.png
23,★ Hand Wraps | Giraffe,Unknown,Extraordinary,0.06 - 0.8,gloves.png
24,★ Hand Wraps | Arboreal,Unknown,Extraordinary,0.06 - 0.8,gloves.png
25,★ Hand Wraps | Leather,Unknown,Extraordinary,0.06 - 0.8,gloves.png
26,★ Hand Wraps | Constrictor,Unknown,Extraordinary,0.06 - 0.8,gloves.png
27,★ Hand Wraps | Slaughter,Unknown,Extraordinary,0.06 - 0.8,gloves.png
28,★ Moto Gloves | Eclipse,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
29,★ Moto Gloves | Turtle,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
30,★ Moto Gloves | Blood Pressure,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
31,★ Moto Gloves | Finish Line,Glove Case,Extraordinary,0.06 - 0.8,gloves.png
